track_id,frame_id,label,X,Y,Z,img_name,x,y,r,xrep,yrep,error,R3D
0,51,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_51.png,367.156,910.289,21.3237,366.423,905.382,4.9617,0.54922
0,125,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,325.221,816.719,NULL,0.54922
0,56,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_56.png,339.873,938.573,21.8825,340.016,933.127,5.44774,0.54922
0,135,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,323.732,816.162,NULL,0.54922
0,126,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,325.995,812.765,NULL,0.54922
0,128,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,325.688,807.938,NULL,0.54922
0,81,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,333.975,840.243,NULL,0.54922
0,131,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,325.528,808.074,NULL,0.54922
0,146,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,332.73,813.468,NULL,0.54922
0,82,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,331.839,842.578,NULL,0.54922
0,138,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,328.649,807.211,NULL,0.54922
0,91,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,323.225,832.55,NULL,0.54922
0,54,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_54.png,348.205,929.888,21.9479,349.257,925.342,4.66615,0.54922
0,149,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,326.555,806.136,NULL,0.54922
0,71,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,332.012,846.06,NULL,0.54922
0,140,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,328.322,808.149,NULL,0.54922
0,147,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,333.723,815.272,NULL,0.54922
0,80,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,334.495,840.582,NULL,0.54922
0,132,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,324.203,811.711,NULL,0.54922
0,75,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,336.158,841.255,NULL,0.54922
0,69,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,330.951,849.176,NULL,0.54922
0,144,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,329.065,808.084,NULL,0.54922
0,83,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,329.686,845.548,NULL,0.54922
0,27,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_27.png,319.842,799.294,17.7984,320.14,799.142,0.334383,0.54922
0,43,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_43.png,377.387,856.077,20.1395,377.351,852.132,3.94499,0.54922
0,141,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,326.597,810.602,NULL,0.54922
0,139,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,329.385,806.241,NULL,0.54922
0,134,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,323.62,816.502,NULL,0.54922
0,90,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,323.35,832.169,NULL,0.54922
0,66,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_66.png,313.754,877.826,19.52,317.236,874.005,5.16893,0.54922
0,84,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,326.811,846.405,NULL,0.54922
0,76,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,335.093,841.229,NULL,0.54922
0,57,baya,-1.68856,5.90963,25.3671,001_VID_20230322_173621_57.png,337.976,934.957,20.8385,338.404,929.687,5.28757,0.54922
0,89,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,325.39,833.635,NULL,0.54922
0,79,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,333.327,843.909,NULL,0.54922
0,88,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,327.045,834.533,NULL,0.54922
0,86,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,326.72,840.002,NULL,0.54922
0,67,baya,-1.68856,5.90963,25.3671,NULL,NULL,NULL,NULL,319.186,866.348,NULL,0.54922
